         0         4   4.84276   4.84276   4.84276   4.84276   2.16575   2.16575   4.84276   4.84276   4.84276   4.84276
         0         5   4.84276   4.84276   4.84276   2.16575   4.84276   4.84276   2.16575   4.84276   4.84276   4.84276
         0         6   4.84276   4.84276   2.16575   4.84276   4.84276   4.84276   4.84276   2.16575   4.84276   4.84276
         0         7   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119
         1         4   4.84276   4.84276   4.84276   2.16575   4.84276   4.84276   2.16575   4.84276   4.84276   4.84276
         1         5   4.84276   4.84276   4.84276   4.84276   2.16575   2.16575   4.84276   4.84276   4.84276   4.84276
         1         6   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119
         1         7   4.84276   4.84276   2.16575   4.84276   4.84276   4.84276   4.84276   2.16575   4.84276   4.84276
         2         4   4.84276   4.84276   2.16575   4.84276   4.84276   4.84276   4.84276   2.16575   4.84276   4.84276
         2         5   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119
         2         6   4.84276   4.84276   4.84276   4.84276   2.16575   2.16575   4.84276   4.84276   4.84276   4.84276
         2         7   4.84276   4.84276   4.84276   2.16575   4.84276   4.84276   2.16575   4.84276   4.84276   4.84276
         3         4   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119
         3         5   4.84276   4.84276   2.16575   4.84276   4.84276   4.84276   4.84276   2.16575   4.84276   4.84276
         3         6   4.84276   4.84276   4.84276   2.16575   4.84276   4.84276   2.16575   4.84276   4.84276   4.84276
         3         7   4.84276   4.84276   4.84276   4.84276   2.16575   2.16575   4.84276   4.84276   4.84276   4.84276
         4         0   4.84276   4.84276   4.84276   4.84276   2.16575   2.16575   4.84276   4.84276   4.84276   4.84276
         4         1   4.84276   4.84276   4.84276   2.16575   4.84276   4.84276   2.16575   4.84276   4.84276   4.84276
         4         2   4.84276   4.84276   2.16575   4.84276   4.84276   4.84276   4.84276   2.16575   4.84276   4.84276
         4         3   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119
         5         0   4.84276   4.84276   4.84276   2.16575   4.84276   4.84276   2.16575   4.84276   4.84276   4.84276
         5         1   4.84276   4.84276   4.84276   4.84276   2.16575   2.16575   4.84276   4.84276   4.84276   4.84276
         5         2   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119
         5         3   4.84276   4.84276   2.16575   4.84276   4.84276   4.84276   4.84276   2.16575   4.84276   4.84276
         6         0   4.84276   4.84276   2.16575   4.84276   4.84276   4.84276   4.84276   2.16575   4.84276   4.84276
         6         1   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119
         6         2   4.84276   4.84276   4.84276   4.84276   2.16575   2.16575   4.84276   4.84276   4.84276   4.84276
         6         3   4.84276   4.84276   4.84276   2.16575   4.84276   4.84276   2.16575   4.84276   4.84276   4.84276
         7         0   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119   3.75119
         7         1   4.84276   4.84276   2.16575   4.84276   4.84276   4.84276   4.84276   2.16575   4.84276   4.84276
         7         2   4.84276   4.84276   4.84276   2.16575   4.84276   4.84276   2.16575   4.84276   4.84276   4.84276
         7         3   4.84276   4.84276   4.84276   4.84276   2.16575   2.16575   4.84276   4.84276   4.84276   4.84276
