         0         4   4.46605   4.94570   3.20702   4.39422   3.84699   4.88094
         0         5   3.72551   4.44037   2.05397   4.73216
         0         6   4.39422   3.20702   4.88094   3.84699   4.46605   4.94570
         0         7   2.05397   4.44037   4.73216   3.72551
         0         8   4.01537   4.21620   4.73319   2.18327
         0         9   3.99513   4.77985   2.14583   3.38976
         0        10   4.21620   2.18327   4.73319   4.01537
         0        11   3.38976   2.14583   4.77985   3.99513
         1         4   3.72551   4.73216   4.44037   2.05397
         1         5   4.94570   4.46605   3.84699   4.88094   3.20702   4.39422
         1         6   4.73216   2.05397   4.44037   3.72551
         1         7   4.88094   3.84699   4.39422   3.20702   4.94570   4.46605
         1         8   3.99513   4.77985   2.14583   3.38976
         1         9   4.01537   4.73319   2.18327   4.21620
         1        10   3.38976   2.14583   4.77985   3.99513
         1        11   2.18327   4.73319   4.21620   4.01537
         2         4   1.91677   3.56346   4.04800
         2         5   4.30174   4.47338   2.12439   4.15034
         2         6   4.04800   3.56346   1.91677
         2         7   4.15034   4.30174   2.12439   4.47338
         2         8   4.55975   1.77621   4.79867   3.76448
         2         9   3.32762   4.23780   3.82167   4.63584   4.69994
         2        10   3.76448   1.77621   4.55975   4.79867
         2        11   4.69994   4.23780   3.32762   4.63584   3.82167
         3         4   4.47338   2.12439   4.30174   4.15034
         3         5   1.91677   3.56346   4.04800
         3         6   4.15034   2.12439   4.47338   4.30174
         3         7   4.04800   3.56346   1.91677
         3         8   3.82167   4.63584   3.32762   4.23780   4.69994
         3         9   4.79867   4.55975   1.77621   3.76448
         3        10   4.69994   4.63584   3.82167   4.23780   3.32762
         3        11   3.76448   4.79867   1.77621   4.55975
         4         0   4.88094   3.84699   4.39422   3.20702   4.94570   4.46605
         4         1   2.05397   4.44037   4.73216   3.72551
         4         2   4.04800   3.56346   1.91677
         4         3   4.15034   4.30174   2.12439   4.47338
         5         0   4.73216   2.05397   4.44037   3.72551
         5         1   4.39422   3.20702   4.88094   3.84699   4.46605   4.94570
         5         2   4.15034   2.12439   4.47338   4.30174
         5         3   4.04800   3.56346   1.91677
         6         0   4.94570   4.46605   3.84699   4.88094   3.20702   4.39422
         6         1   3.72551   4.44037   2.05397   4.73216
         6         2   1.91677   3.56346   4.04800
         6         3   4.30174   4.47338   2.12439   4.15034
         7         0   3.72551   4.73216   4.44037   2.05397
         7         1   4.46605   4.94570   3.20702   4.39422   3.84699   4.88094
         7         2   4.47338   2.12439   4.30174   4.15034
         7         3   1.91677   3.56346   4.04800
         8         0   2.18327   4.73319   4.21620   4.01537
         8         1   3.38976   2.14583   4.77985   3.99513
         8         2   3.76448   4.79867   1.77621   4.55975
         8         3   4.69994   4.23780   3.32762   4.63584   3.82167
         9         0   3.38976   2.14583   4.77985   3.99513
         9         1   4.21620   2.18327   4.73319   4.01537
         9         2   4.69994   4.63584   3.82167   4.23780   3.32762
         9         3   3.76448   1.77621   4.55975   4.79867
        10         0   4.01537   4.73319   2.18327   4.21620
        10         1   3.99513   4.77985   2.14583   3.38976
        10         2   4.79867   4.55975   1.77621   3.76448
        10         3   3.32762   4.23780   3.82167   4.63584   4.69994
        11         0   3.99513   4.77985   2.14583   3.38976
        11         1   4.01537   4.21620   4.73319   2.18327
        11         2   3.82167   4.63584   3.32762   4.23780   4.69994
        11         3   4.55975   1.77621   4.79867   3.76448
