         0         6   3.69060   4.72504   4.72504
         0         7   4.72504   4.72504   3.69060
         0         8   4.22896   2.00912   4.22896
         0         9   4.22896   2.00912   4.22896
         0        10   1.99724   3.62567   3.62567   4.72250
         0        11   4.72250   3.62567   3.62567   1.99724
         0        12   3.74640   4.81581   4.81581
         0        13   4.15755   1.97198   4.15755
         0        14   4.69710   4.89097
         0        15   4.69710   4.89097
         0        16   4.15755   1.97198   4.15755
         0        17   4.81581   4.81581   3.74640
         1         6   3.69060   4.72504   4.72504
         1         7   4.72504   4.72504   3.69060
         1         8   4.22896   2.00912   4.22896
         1         9   4.22896   2.00912   4.22896
         1        10   3.74640   4.81581   4.81581
         1        11   4.81581   4.81581   3.74640
         1        12   1.99724   3.62567   3.62567   4.72250
         1        13   4.89097   4.69710
         1        14   4.15755   1.97198   4.15755
         1        15   4.15755   1.97198   4.15755
         1        16   4.89097   4.69710
         1        17   4.72250   3.62567   3.62567   1.99724
         2         6   4.22896   4.22896   2.00912
         2         7   2.00912   4.22896   4.22896
         2         8   4.72504   3.69060   4.72504
         2         9   4.72504   3.69060   4.72504
         2        10   4.15755   4.15755   1.97198
         2        11   1.97198   4.15755   4.15755
         2        12   4.89097   4.69710
         2        13   3.62567   1.99724   4.72250   3.62567
         2        14   4.81581   3.74640   4.81581
         2        15   4.81581   3.74640   4.81581
         2        16   3.62567   4.72250   1.99724   3.62567
         2        17   4.89097   4.69710
         3         6   4.22896   4.22896   2.00912
         3         7   2.00912   4.22896   4.22896
         3         8   4.72504   3.69060   4.72504
         3         9   4.72504   3.69060   4.72504
         3        10   4.69710   4.89097
         3        11   4.69710   4.89097
         3        12   4.15755   4.15755   1.97198
         3        13   4.81581   3.74640   4.81581
         3        14   3.62567   4.72250   1.99724   3.62567
         3        15   3.62567   1.99724   4.72250   3.62567
         3        16   4.81581   3.74640   4.81581
         3        17   1.97198   4.15755   4.15755
         4         6   2.06184   3.59954   3.59954   4.65426
         4         7   4.65426   3.59954   3.59954   2.06184
         4         8   4.77529   4.77529
         4         9   4.77529   4.77529
         4        10   3.56922   4.67930   4.67930
         4        11   4.67930   4.67930   3.56922
         4        12   3.56922   4.67930   4.67930
         4        13   4.23466   2.12975   4.23466
         4        14   4.23466   2.12975   4.23466
         4        15   4.23466   2.12975   4.23466
         4        16   4.23466   2.12975   4.23466
         4        17   4.67930   4.67930   3.56922
         5         6   4.77529   4.77529
         5         7   4.77529   4.77529
         5         8   3.59954   2.06184   4.65426   3.59954
         5         9   3.59954   4.65426   2.06184   3.59954
         5        10   4.23466   4.23466   2.12975
         5        11   2.12975   4.23466   4.23466
         5        12   4.23466   4.23466   2.12975
         5        13   4.67930   3.56922   4.67930
         5        14   4.67930   3.56922   4.67930
         5        15   4.67930   3.56922   4.67930
         5        16   4.67930   3.56922   4.67930
         5        17   2.12975   4.23466   4.23466
         6         0   4.72504   4.72504   3.69060
         6         1   4.72504   4.72504   3.69060
         6         2   2.00912   4.22896   4.22896
         6         3   2.00912   4.22896   4.22896
         6         4   4.65426   3.59954   3.59954   2.06184
         6         5   4.77529   4.77529
         7         0   3.69060   4.72504   4.72504
         7         1   3.69060   4.72504   4.72504
         7         2   4.22896   4.22896   2.00912
         7         3   4.22896   4.22896   2.00912
         7         4   2.06184   3.59954   3.59954   4.65426
         7         5   4.77529   4.77529
         8         0   4.22896   2.00912   4.22896
         8         1   4.22896   2.00912   4.22896
         8         2   4.72504   3.69060   4.72504
         8         3   4.72504   3.69060   4.72504
         8         4   4.77529   4.77529
         8         5   3.59954   4.65426   2.06184   3.59954
         9         0   4.22896   2.00912   4.22896
         9         1   4.22896   2.00912   4.22896
         9         2   4.72504   3.69060   4.72504
         9         3   4.72504   3.69060   4.72504
         9         4   4.77529   4.77529
         9         5   3.59954   2.06184   4.65426   3.59954
        10         0   4.72250   3.62567   3.62567   1.99724
        10         1   4.81581   4.81581   3.74640
        10         2   1.97198   4.15755   4.15755
        10         3   4.89097   4.69710
        10         4   4.67930   4.67930   3.56922
        10         5   2.12975   4.23466   4.23466
        11         0   1.99724   3.62567   3.62567   4.72250
        11         1   3.74640   4.81581   4.81581
        11         2   4.15755   4.15755   1.97198
        11         3   4.89097   4.69710
        11         4   3.56922   4.67930   4.67930
        11         5   4.23466   4.23466   2.12975
        12         0   4.81581   4.81581   3.74640
        12         1   4.72250   3.62567   3.62567   1.99724
        12         2   4.69710   4.89097
        12         3   1.97198   4.15755   4.15755
        12         4   4.67930   4.67930   3.56922
        12         5   2.12975   4.23466   4.23466
        13         0   4.15755   1.97198   4.15755
        13         1   4.69710   4.89097
        13         2   3.62567   4.72250   1.99724   3.62567
        13         3   4.81581   3.74640   4.81581
        13         4   4.23466   2.12975   4.23466
        13         5   4.67930   3.56922   4.67930
        14         0   4.89097   4.69710
        14         1   4.15755   1.97198   4.15755
        14         2   4.81581   3.74640   4.81581
        14         3   3.62567   1.99724   4.72250   3.62567
        14         4   4.23466   2.12975   4.23466
        14         5   4.67930   3.56922   4.67930
        15         0   4.89097   4.69710
        15         1   4.15755   1.97198   4.15755
        15         2   4.81581   3.74640   4.81581
        15         3   3.62567   4.72250   1.99724   3.62567
        15         4   4.23466   2.12975   4.23466
        15         5   4.67930   3.56922   4.67930
        16         0   4.15755   1.97198   4.15755
        16         1   4.69710   4.89097
        16         2   3.62567   1.99724   4.72250   3.62567
        16         3   4.81581   3.74640   4.81581
        16         4   4.23466   2.12975   4.23466
        16         5   4.67930   3.56922   4.67930
        17         0   3.74640   4.81581   4.81581
        17         1   1.99724   3.62567   3.62567   4.72250
        17         2   4.69710   4.89097
        17         3   4.15755   4.15755   1.97198
        17         4   3.56922   4.67930   4.67930
        17         5   4.23466   4.23466   2.12975
