         0         4   2.77505   2.77505   2.77505   2.77505
         0         5   4.98563   4.98563   3.08419   3.08419   4.98563   4.98563
         0         6   4.98563   4.98563   3.08419   3.08419   4.98563   4.98563
         0         7   4.98888   3.07078   4.98888   4.98888   3.07078   4.98888
         0         8   4.98888   3.07078   4.98888   4.98888   3.07078   4.98888
         1         4   4.69260   4.69260   4.69260   4.69260   4.69260   4.69260   4.69260   4.69260
         1         5   4.60334   4.60334   2.41794   2.41794   4.60334   4.60334
         1         6   4.60334   4.60334   2.41794   2.41794   4.60334   4.60334
         1         7   4.61617   2.41863   4.61617   4.61617   2.41863   4.61617
         1         8   4.61617   2.41863   4.61617   4.61617   2.41863   4.61617
         2         4   4.39780   4.41084   1.99908   4.41084   4.39780
         2         5   4.40882   1.99461   4.40882   4.40882   1.99461   4.40882
         2         6   3.74562   4.79387   3.74562   4.79387
         2         7   4.39807   4.39807   1.99969   1.99969   4.39807   4.39807
         2         8   3.75913   4.78651   3.75913   4.78651
         3         4   4.39780   4.41084   1.99908   4.41084   4.39780
         3         5   4.79387   3.74562   4.79387   3.74562
         3         6   4.40882   1.99461   4.40882   4.40882   1.99461   4.40882
         3         7   4.78651   3.75913   4.78651   3.75913
         3         8   4.39807   4.39807   1.99969   1.99969   4.39807   4.39807
         4         0   2.77505   2.77505   2.77505   2.77505
         4         1   4.69260   4.69260   4.69260   4.69260   4.69260   4.69260   4.69260   4.69260
         4         2   4.39780   4.41084   1.99908   4.41084   4.39780
         4         3   4.39780   4.41084   1.99908   4.41084   4.39780
         5         0   4.98563   4.98563   3.08419   3.08419   4.98563   4.98563
         5         1   4.60334   4.60334   2.41794   2.41794   4.60334   4.60334
         5         2   4.40882   1.99461   4.40882   4.40882   1.99461   4.40882
         5         3   3.74562   4.79387   3.74562   4.79387
         6         0   4.98563   4.98563   3.08419   3.08419   4.98563   4.98563
         6         1   4.60334   4.60334   2.41794   2.41794   4.60334   4.60334
         6         2   4.79387   3.74562   4.79387   3.74562
         6         3   4.40882   1.99461   4.40882   4.40882   1.99461   4.40882
         7         0   4.98888   3.07078   4.98888   4.98888   3.07078   4.98888
         7         1   4.61617   2.41863   4.61617   4.61617   2.41863   4.61617
         7         2   4.39807   4.39807   1.99969   1.99969   4.39807   4.39807
         7         3   3.75913   4.78651   3.75913   4.78651
         8         0   4.98888   3.07078   4.98888   4.98888   3.07078   4.98888
         8         1   4.61617   2.41863   4.61617   4.61617   2.41863   4.61617
         8         2   4.78651   3.75913   4.78651   3.75913
         8         3   4.39807   4.39807   1.99969   1.99969   4.39807   4.39807
