cif name= ./1522045.cif
./1522045.cif
Full Formula (Pr10 Mo64 O108)
Reduced Formula: Pr5(Mo16O27)2
abc   :  10.177000   9.117100  22.880000
angles:  90.000000 105.186000  90.000000
Sites (182)
  #  SP          a        b        c
---  ----  -------  -------  -------
128  O     0.9871   0.5078   0.2528
129  O     0.0129   0.0078   0.2472
130  O     0.0826   0.2594   0.3266
131  O     0.9174   0.7594   0.1734
132  O     0.9174   0.7406   0.6734
133  O     0.0826   0.2406   0.8266
134  O     0.0164   0.4943   0.6281
135  O     0.9836   0.9943   0.8719
136  O     0.9836   0.5057   0.3719
137  O     0.0164   0.0057   0.1281
138  O     0.9969   0.4918   0.8822
139  O     0.0031   0.9918   0.6178
140  O     0.0031   0.5082   0.1178
141  O     0.9969   0.0082   0.3822
142  O     0.5644   0.283    0.505
143  O     0.4356   0.783    0.995
144  O     0.4356   0.717    0.495
145  O     0.5644   0.217    0.005
146  O     0.0963   0.2731   0.6995
147  O     0.9037   0.7731   0.8005
148  O     0.9037   0.7269   0.3005
149  O     0.0963   0.2269   0.1995
150  O     0.834    0.2472   0.6039
151  O     0.166    0.7472   0.8961
152  O     0.166    0.7528   0.3961
153  O     0.834    0.2528   0.1039
154  O     0.5802   0.2666   0.6309
155  O     0.4198   0.7666   0.8691
156  O     0.4198   0.7334   0.3691
157  O     0.5802   0.2334   0.1309
158  O     0.2702   0.9985   0.9761
159  O     0.7298   0.4985   0.5239
160  O     0.7298   0.0015   0.0239
161  O     0.2702   0.5015   0.4761
162  O     0.4106   0.7479   0.7394
163  O     0.5894   0.2479   0.7606
164  O     0.5894   0.2521   0.2606
165  O     0.4106   0.7521   0.2394
166  O     0.2521   0.9997   0.0963
167  O     0.7479   0.4997   0.4037
168  O     0.7479   0.0003   0.9037
169  O     0.2521   0.5003   0.5963
170  O     0.5209   0.498    0.1944
171  O     0.4791   0.998    0.3056
172  O     0.4791   0.502    0.8056
173  O     0.5209   0.002    0.6944
174  O     0.8351   0.2384   0.4826
175  O     0.1649   0.7384   0.0174
176  O     0.1649   0.7616   0.5174
177  O     0.8351   0.2616   0.9826
178  O     0.2501   0.4963   0.3452
179  O     0.7499   0.9963   0.1548
180  O     0.7499   0.5037   0.6548
181  O     0.2501   0.0037   0.8452

space_group_IT_number 14

*** lse ***


**isite= 0
Pr1 : [0.      4.55855 0.     ]

ce_symbol  = C:12
ce_fraction=  0.9999751990873477
species:coords:index
O1 : [-2.62485125  4.58225446  0.63814213] : 92
O1 : [0.34851333 2.39597388 1.56554592] : 87
O1 : [-1.57390052  2.38503336 -0.38421014] : 177
O1 : [-0.6744848   4.63331022  2.60114681] : 140
O1 : [-1.92444925  4.52755186 -1.94975606] : 82
O1 : [1.92444925 4.58954814 1.94975606] : 84
O1 : [-1.05453489  6.65457129  0.99806312] : 112
O1 : [-0.34851333  6.72112612 -1.56554592] : 89
O1 : [ 1.05453489  2.46252871 -0.99806312] : 110
O1 : [ 0.6744848   4.48378978 -2.60114681] : 138
