file	formula	svnrevision
1001046	- In0.31 O3 W -	176435
1001048	- Cd O3 Pb -	130149
1001049	- Fe2.8 O4 Sn0.2 -	176435
1001050	- Fe2.6 O4 Sn0.4 -	176435
1001051	- Fe2.5 O4 Sn0.5 -	176435
1001052	- Nb1.34 O6.67 Pb2 Ti0.66 -	176435
1001053	- Cr O6 Ta2 -	176729
1001054	- Ba Co0.5 O3 Ta0.5 -	176435
1001055	- Gd0.29 O3 Ta0.87 W0.13 -	176435
1001056	- Gd0.07 O3 Ta0.21 W0.79 -	176435
1001057	- O6 Ta1.75 Tl1.75 W0.25 -	176435
1001065	- Ba Ge2.5 O9 Si1.5 -	130149
1001066	- Ba Ge3.125 O9 Si0.875 -	176435
1001072	- Ca0.3333 Nb0.6667 O3 Sr -	176435
1001073	- Mo3 Nd5 O16 -	176729
1001074	- Ge3 K O9 Ta -	130149
1001075	- Ge3 O9 Rb Ta -	130149
1001076	- Ge3 Nb O9 Rb -	130149
1001077	- Ge3 O9 Ta Tl -	130149
1001078	- Ba Ge3 O9 Sn -	130149
1001079	- O46 Sn10 W16 -	130149
1001080	- O13 Tl2 W4 -	130149
1001081	- K Nb O5 Ti -	130149
1001082	- K0.85 Nb1.15 O5 Ti0.85 -	176435
1001083	- Nb O5 Rb Ti -	130149
1001084	- Nb1.15 O5 Rb0.85 Ti0.85 -	176435
1001085	- Nb O5 Ti Tl -	130149
1001086	- Nb1.1 O5 Ti0.9 Tl0.9 -	176435
1001087	- K O5 Ta Ti -	130149
1001088	- O5 Rb Ta Ti -	130149
1001091	- Cr O6 Ta2 -	130149
1001093	- O6 Pb2 Sn2 -	176729
1001094	- Ba2 Fe O6 U -	130149
1001095	- Ba2 Cr O6 U -	130149
1001096	- O8 Re Y3 -	130149
1001097	- Ba2.4 Cu1.8 La3.6 O9.6 -	130149
1001098	- Li1.333 O4 Ti1.667 -	176729
1001099	- Li1.2 O4 Ti1.8 -	176729
1001100	- Li O4 Ti2 -	176729
1001101	- Li1.1 O4 Ti1.9 -	176729
1001102	- Ba3 O26 Si4 Ta6 -	130149
1001103	- O26 Si4 Sr3 Ta6 -	120071
1001104	- K6 O26 Si4 Ta6 -	130149
1001105	- K6 Nb6 O26 Si4 -	130149
1001106	- K3 Nb O14 Ti5 -	130149
1001107	- K3 O14 Ta Ti5 -	130149
1001108	- Nb O14 Rb3 Ti5 -	130149
1001111	- K2 O9 Si3 Ti -	130149
1001112	- O9 Rb2 Si3 Ti -	130149
1001113	- K2 O9 Si3 Sn -	130149
1001114	- O9 Rb2 Si3 Sn -	130149
1001115	- Ge3 O9 Ti Tl2 -	130149
1001116	- Cs2 Ge3 O9 Ti -	130149
1001117	- Cs2 Ge3 O9 Sn -	130149
1001118	- Ge3 K2 O9 Ti -	130149
1001119	- Ge3 O9 Rb2 Ti -	130149
1001120	- Ge3 K2 O9 Sn -	130149
1001121	- Ge3 O9 Rb2 Sn -	130149
1001122	- Ge3 O9 Sn Tl2 -	130149
1001123	- O3 Ta0.18 W0.82 Y0.06 -	176435
1001124	- O3 Ta0.72 W0.28 Y0.24 -	176435
1001125	- O3 Ta0.9 W0.1 Y0.3 -	176435
1001128	- Ba2 Mn O6 U -	130149
1001129	- K0.8 Mg0.4 O4 Ti1.6 -	176435
1001130	- K0.8 O4 Ti1.6 Zn0.4 -	176435
1001131	- Cs Nb O7 Ti2 -	130149
1001132	- Ba2 Mg O6 U -	130149
1001133	- Ba2 Fe1.333 O6 U0.667 -	176435
1001134	- Ba2 Fe0.667 Mg0.5 O6 U0.833 -	176435
1001136	- Cu2 K2 Mg3 O30 Si12 -	130149
1001137	- K2 Mg3 O30 Si12 Zn2 -	130149
1001138	- Mg5 Na2 O30 Si12 -	130149
1001139	- Cu2 Mg3 Na2 O30 Si12 -	130149
1001140	- Mg5 Na O30 Rb Si12 -	130149
1001141	- K3 Li Mg4 O30 Si12 -	130149
1001142	- Li Mg4 Na3 O30 Si12 -	130149
1001143	- Nb2 O10 Ti U -	176729
1001145	- Cd1.333 O4 Sn1.333 -	176729
1001149	- O6 Ta1.5 Tl1.5 W0.5 -	176435
1001150	- O5 U V -	130149
1001151	- O6 Ta2 V -	130149
1001152	- O4 V Zn2 -	176729
1001153	- Co2 O4 V -	176729
1001154	- Mn2 O4 V -	176729
1001155	- Co Li O4 V -	176729
1001156	- Li Ni O4 V -	176729
1001157	- Cu2 Eu1.3 O5.65 Sr1.7 -	130149
1001160	- Ba5.5 O60 Ta21.8 -	130149
1001168	- Nb1.33 O6.66 Pb2 Ti0.66 -	176435
1001171	- Cs2 Nb4 O11 -	130149
1001172	- Ba3 Cu6 La3 O14 -	130149
1001174	- Nb3 O10 U -	176729
1001175	- Ba3 Fe2 O9 W -	130149
1001176	- La2.4 Mo1.6 O8 -	130149
1001177	- Ca2 O7 Ta2 -	176729
1001178	- Cd2 Nb2 O7 -	176729
1001179	- Cd2 O7 Ta2 -	176729
1001180	- In6 O12 W -	176729
1001181	- Ba2 La4 O10 Zn2 -	130149
1001182	- Ba2 Nd4 O10 Zn2 -	130149
1001183	- Na0.82 Nb2 O6.76 U0.45 -	176435
1001184	- Ca0.5 O3 Ta -	176435
1001185	- O3 Sn0.25 Ta -	176435
1001186	- Ca0.91 O3 Ta0.84 -	176435
1001187	- O4 Sn Zn2 -	176729
1001188	- Cd0.2 O4 Sn Zn1.8 -	176435
1001189	- Cd0.4 O4 Sn Zn1.6 -	176435
1001190	- Cd0.6 O4 Sn Zn1.4 -	176435
1001191	- Cd0.8 O4 Sn Zn1.2 -	176435
1001192	- Cd O4 Sn Zn -	176729
1001193	- Cd1.2 O4 Sn Zn0.8 -	176435
1001194	- Cd1.5 O4 Sn Zn0.5 -	176435
1001195	- Cd1.6 O4 Sn Zn0.4 -	176435
1001196	- Ge O8 Zr3 -	130149
1001197	- Cu K O9 Ta3 -	130149
1001198	- O108 Rb21.79 W32.74 -	130149
1001201	- Nb O9 Rb Ti3 -	176729
1001202	- La6 O18 Re4 -	130149
1001203	- Ca Cu3 O12 Ti4 -	130149
1001204	- Cu La0.74 O4 Sr1.2 -	176435
1001207	- D Nb O5 Ti -	130149
1001208	- K Nb3 O8 -	130149
1001211	- O5.5 Ta W -	176729
1001214	- D O6 Ta W -	176729
1001218	- Cu3 O21 Rb Ta7 -	130149
1001219	- Fe Li O4 Sn -	130149
1001220	- Fe Li O4 Sn -	130149
1001221	- Ba Cu O5 Y2 -	134369
1001222	- Ba Cu Gd2 O5 -	130149
1001223	- O6 Pb1.2 Ta1.6 Ti0.4 -	176435
1001235	- K Nb5 O25 Ti6 -	130149
1001250	- Ba O5 Y2 Zn -	130149
1001251	- Ba O4 Sc2 -	130149
1001254	- Ge2 Nd2 O7 -	130149
1001255	- Cs3 Nb5.96 O16.4 -	130149
1001256	- O3 Sn0.3 W -	176435
1001257	- Dy5 O12 Re2 -	130149
1001258	- Al11 La Mn O19 -	130149
1001259	- Al11.95 La0.9 O18.9 -	176435
1001260	- Al11.5 La0.85 O18.5 -	176435
1001261	- Al11.55 La0.85 O18.6 -	176435
1001269	- Ba2 Nb4 O18 Ti3 -	130149
1001270	- Nb2 O7 Ti -	130149
1001273	- Ba0.15 O3 W -	176435
1001274	- Ba K4 O26 Si4 Ta6 -	130149
1001275	- Ba1.5 K3 O26 Si4 Ta6 -	130149
1001276	- Ge4 K10 Nb22 O68 -	130149
1001278	- Nb4 O21 Sr3 Ti4 -	130149
1001279	- O21 Sr3 Ta4 Ti4 -	130149
1001280	- O5 Ta Ti Tl -	130149
1001281	- Ba3 Li Nb3 O21 Ti5 -	130149
1001282	- Ba3 Li Nb3 O21 Ti5 -	130149
1001283	- Ba3 Li O21 Ta3 Ti5 -	130149
1001285	- Ba0.45 Na1.7 O13 Ti5.85 -	176435
1001288	- Li1.6 O8 Sn2.8 Zn1.6 -	130149
1001289	- Li1.6 Mg1.6 O8 Sn2.8 -	130149
1001290	- Li1.6 O8 Sn2.1 Ti0.7 Zn1.6 -	176435
1001291	- Cu2 La2 O6 Sr -	130149
1001292	- Cu2 La1.9 O5.95 Sr1.1 -	130149
1001293	- Ca1.1 Cu2 La1.9 O5.95 -	130149
1001298	- K3 O21 Ta7 Ti -	130149
1001299	- Fe0.5 K3 O21 Ta7.5 -	176435
1001300	- Ba3 O21 Ta4 Ti4 -	130149
1001301	- Ba3 Fe2 O21 Ta6 -	130149
1001302	- Ge4 K6 Nb6 O26 -	130149
1001303	- Ba3 Nb3.2 O21 Ti5 -	130149
1001304	- Ba3 O21 Ta3.2 Ti5 -	130149
1001305	- Nb O9 Rb Ti3 -	176729
1001317	- O3 Sn0.26 W -	176435
1001325	- Nb29.2 O78 Tl10 -	130149
1001327	- Ba Cu Nd2 O5 -	130149
1001328	- O8 Pb Re2 -	130149
1001337	- Cs0.75 K0.25 Nb O11 Ti U2 -	176435
1001338	- Cs Nb O6 U -	130149
1001339	- Na2 O4 U -	200145
